,App,Price,Rating Count,Rating,Genres,Size (M),Type,New Genres,Price Category
3590,真モグモグ風林火山2,12.99,0,0.0,Games,2864.6,Paid,Games,$10-20
3591,Goat Simulator MMO Simulator,4.99,2277,4.5,Games,530.6,Paid,Games,$4-5
3592,A Noble Circle,0.99,1886,5.0,Games,79.4,Paid,Games,<$1
3593,Red Ball UP! - Bounce Dash & Dodge Spikes,0.0,493,3.5,Games,18.2,Free,Games,Free
3594,全民夺宝-时尚购潮流商品平台,0.0,18,4.5,Entertainment,29.3,Free,Entertainment,Free
3595,DayGram - One line a day Diary (Note/Journal),0.99,69,4.5,Lifestyle,38.8,Paid,Other,<$1
3596,Harvest Land,0.0,1047,4.5,Games,139.5,Free,Games,Free
3597,みんなのお弁当 by クックパッド ~お弁当をレシピ付きで記録・共有~,0.0,0,0.0,Food & Drink,51.2,Free,Other,Free
3598,Blitz Breaker,2.99,39,4.0,Games,51.0,Paid,Games,$1-3
3599,Sofia the First: The Secret Library,3.99,42,3.5,Entertainment,610.5,Paid,Entertainment,$3-4
3600,Thumbly Keyboard,1.99,53,3.0,Utilities,60.3,Paid,Utilities,$1-3
3601,WeicoPro 4,0.99,106,3.0,Social Networking,81.0,Paid,Entertainment,<$1
3602,Never Gone,0.0,87,4.0,Games,725.5,Free,Games,Free
3603,Sorcery! 3,4.99,171,4.5,Games,332.8,Paid,Games,$4-5
3604,Grim Fandango Remastered,4.99,235,4.0,Games,3521.2,Paid,Games,$4-5
3605,Composer's Sketchpad,3.99,33,3.5,Music,175.5,Paid,Other,$3-4
3606,她社区-只有女生的社区！,0.0,23,4.0,Lifestyle,87.5,Free,Other,Free
3607,Scanner For Me - PDF Scan with OCR for Documents,4.99,1976,4.5,Business,172.7,Paid,Productivity,$4-5
3608,Sniper Fury: Fun Mobile Shooter Game,0.0,8596,4.5,Games,1042.6,Free,Games,Free
3609,Cooking Dash™,0.0,33808,4.0,Games,154.3,Free,Games,Free
3610,Family Organizer - Calendar Planner,0.0,828,4.5,Productivity,72.5,Free,Productivity,Free
3611,Inke—Broadcast an amazing life,0.0,147,4.0,Social Networking,137.2,Free,Entertainment,Free
3612,World Conqueror 3,0.99,1094,4.5,Games,69.4,Paid,Games,<$1
3613,Pop the Lock,0.0,28754,4.5,Games,39.3,Free,Games,Free
3614,中国搜索-国家权威搜索,0.0,7,4.5,Utilities,56.2,Free,Utilities,Free
3615,Nonstop Knight,0.0,6841,4.5,Games,161.0,Free,Games,Free
3616,Browser and File Manager for Documents,0.0,27750,5.0,Utilities,42.2,Free,Utilities,Free
3617,GROW：JOURNEY TO THE LIGHT,0.99,0,0.0,Games,70.3,Paid,Games,<$1
3618,GENIUS Movie Idioms1000,9.99,0,0.0,Education,117.1,Paid,Education,$5-10
3619,Northern Lights Photo Taker,0.99,29,4.0,Photo & Video,9.3,Paid,Photo & Video,<$1
3620,Kill Shot Bravo,0.0,22444,4.5,Games,104.2,Free,Games,Free
3621,R.B.I. Baseball 15,4.99,1510,3.5,Games,2318.7,Paid,Games,$4-5
3622,DragonVale World,0.0,6379,4.5,Games,117.9,Free,Games,Free
3623,Words Crush: Hidden Words!,0.0,23735,4.5,Games,117.3,Free,Games,Free
3624,Stupid Zombies 3,0.0,10159,5.0,Games,154.1,Free,Games,Free
3625,To-Fu Fury,0.99,1331,4.5,Games,651.9,Paid,Games,<$1
3626,教えて!goo,0.0,0,0.0,Reference,44.2,Free,Education,Free
3627,Buddy Toss,0.0,1018,4.0,Games,129.2,Free,Games,Free
3628,Lost Within,3.99,510,4.5,Games,1197.0,Paid,Games,$3-4
3629,Til Morning's Light,3.99,715,4.5,Games,1431.8,Paid,Games,$3-4
3630,Tales From Deep Space,3.99,110,4.0,Games,896.6,Paid,Games,$3-4
3631,Fit Men Cook - Healthy Recipes,3.99,1187,5.0,Food & Drink,159.5,Paid,Other,$3-4
3632,Wrassling,0.0,1934,4.5,Games,53.6,Free,Games,Free
3633,OPERATION DRACULA,2.99,64,4.0,Games,302.3,Paid,Games,$1-3
3634,"TLMJ, Tout Le Monde Joue",0.0,0,0.0,Games,22.1,Free,Games,Free
3635,ファンタジードライブ【快進撃3DRPG】,0.0,5,4.5,Games,176.7,Free,Games,Free
3636,霸王卧龙传,0.99,1,5.0,Games,76.0,Paid,Games,<$1
3637,Neon Chrome,9.99,439,5.0,Games,206.3,Paid,Games,$5-10
3638,WorkMeOut - Jaber Al-Rasheed,2.99,118,4.5,Health & Fitness,74.9,Paid,Health & Fitness,$1-3
3639,LEGO® Batman: Beyond Gotham,4.99,756,4.0,Games,1265.0,Paid,Games,$4-5
3640,全民暴力摩托-暴力摩托3d免费真实赛车小游戏,0.0,0,0.0,Games,244.8,Free,Games,Free
3641,BabyMaker: Funny Baby Face out of Parents' Pictures - Make a Photo Collage!,0.99,24,1.5,Photo & Video,65.2,Paid,Photo & Video,<$1
3642,Worms™ 4,4.99,380,3.5,Games,268.6,Paid,Games,$4-5
3643,Block Craft 3D: Building Simulator Game For Free,0.0,78412,4.5,Games,93.1,Free,Games,Free
3644,Dan The Man (Retro Action Platformer),0.0,7527,5.0,Games,99.3,Free,Games,Free
3645,Robbery Bob 2: Double Trouble,0.0,899,4.5,Games,1006.3,Free,Games,Free
3646,NextGen Car Game Racing,0.99,100,3.5,Games,105.1,Paid,Games,<$1
3647,Battle Copters,0.0,2922,4.5,Games,267.6,Free,Games,Free
3648,GreenVPN - Free & fast VPN with unlimited traffic,0.0,464,4.5,Business,16.4,Free,Productivity,Free
3649,This War of Mine,14.99,2523,4.5,Games,427.7,Paid,Games,$10-20
3650,Splish Splash Pong,0.0,1902,4.0,Games,67.2,Free,Games,Free
3651,Take Off - The Flight Simulator,0.99,244,4.0,Games,1406.9,Paid,Games,<$1
3652,Level: A Simple Puzzle Game,0.99,60,4.0,Games,30.6,Paid,Games,<$1
3653,Lifeline...,1.99,21347,4.5,Games,29.7,Paid,Games,$1-3
3654,PP基金-随时提现的投资理财平台,0.0,0,0.0,Finance,29.4,Free,Utilities,Free
3655,诺诺镑客—让财富升值,0.0,0,0.0,Finance,28.0,Free,Utilities,Free
3656,求生无限 - 无限流生存挑战大冒险,0.99,1,5.0,Games,87.8,Paid,Games,<$1
3657,Hot Trigger,0.99,115,4.5,Games,243.0,Paid,Games,<$1
3658,Hyperburner,2.99,545,4.5,Games,95.0,Paid,Games,$1-3
3659,har•mo•ny 3,2.99,823,4.5,Games,172.6,Paid,Games,$1-3
3660,Sword Of Xolan,0.99,381,4.5,Games,116.1,Paid,Games,<$1
3661,NAVIRO(ナビロー) - カーナビ/バイクナビ/徒歩ナビが使える高性能ナビアプリ,0.0,0,0.0,Navigation,55.8,Free,Utilities,Free
3662,GodFinger 2,0.0,602,3.5,Games,117.5,Free,Games,Free
3663,Uptown & Co. - Vintage Filters & insignias.,1.99,115,4.0,Photo & Video,50.6,Paid,Photo & Video,$1-3
3664,Cell Surgeon - A Unique 3D Match 4 Strategy Game!,0.99,14,4.5,Games,252.1,Paid,Games,<$1
3665,Neo Monsters,0.99,3093,4.5,Games,229.5,Paid,Games,<$1
3666,Muhammad Ali: Puzzle King,0.0,277,5.0,Games,153.6,Free,Games,Free
3667,借贷宝-直投熟人更高明,0.0,10,3.5,Finance,74.2,Free,Utilities,Free
3668,乐视体育—英超欧冠F1高清直播,0.0,24,3.5,Sports,121.3,Free,Entertainment,Free
3669,Iron Commander,0.0,71,3.5,Games,160.3,Free,Games,Free
3670,5E Spell Book,0.0,144,3.0,Games,6.5,Free,Games,Free
3671,M Cam - Manual controls & custom exposure camera,1.99,11,3.5,Photo & Video,15.1,Paid,Photo & Video,$1-3
3672,Productive habits & daily goals tracker,0.0,4736,5.0,Productivity,9.3,Free,Productivity,Free
3673,The Enchanted Cave 2,2.99,92,4.5,Games,38.0,Paid,Games,$1-3
3674,Immortal Legends - TD,0.0,26,3.0,Games,273.8,Free,Games,Free
3675,Order & Chaos 2: 3D MMO RPG Online Game,0.0,6325,4.0,Games,703.1,Free,Games,Free
3676,Sky Charms,0.0,505,4.5,Games,183.3,Free,Games,Free
3677,AdivínaT - Adivina las palabras,0.99,15,4.5,Games,135.9,Paid,Games,<$1
3678,Stress Release Grenade,0.0,0,0.0,Games,195.4,Free,Games,Free
3679,日课——给每一位好读诗的人！,0.99,7,4.5,Education,59.2,Paid,Education,<$1
3680,Hollywood Game Night,0.99,27,4.0,Games,173.5,Paid,Games,<$1
3681,Roll Turtle,0.99,25,5.0,Games,92.8,Paid,Games,<$1
3682,Forsaken World Mobile MMORPG,0.0,952,4.0,Games,640.6,Free,Games,Free
3683,Dot - A Period & Fertility Tracker,0.0,142,4.0,Health & Fitness,42.5,Free,Health & Fitness,Free
3684,鏡の中のプリンセス Love Palace,0.0,7,4.5,Games,22.1,Free,Games,Free
3685,大江戸ぶらり,4.99,0,0.0,Navigation,45.8,Paid,Utilities,$4-5
3686,Hockey Stars,0.0,1619,4.5,Games,76.5,Free,Games,Free
3687,Cookie Clickers 2,0.0,2912,5.0,Games,63.0,Free,Games,Free
3688,Discord - Chat for Gamers,0.0,9152,4.5,Social Networking,26.9,Free,Entertainment,Free
3689,One More Dash,0.0,1142,4.5,Games,109.1,Free,Games,Free
3690,Tamagotchi Classic - The Original Tamagotchi Game,0.99,165,3.0,Games,47.9,Paid,Games,<$1
3691,Dr. Panda Space,2.99,75,4.5,Education,251.0,Paid,Education,$1-3
3692,Gun Master 3: Zombie Slayer,0.0,604,4.5,Games,220.9,Free,Games,Free
3693,Face Swap App- Funny Face Changer Photo Effects,0.0,11977,4.5,Photo & Video,16.3,Free,Photo & Video,Free
3694,Hot Shot Slots Games – Vegas Casino Slot Machines,0.0,20064,4.5,Games,179.0,Free,Games,Free
3695,letgo: Buy & Sell Second Hand Stuff,0.0,38424,4.5,Shopping,109.9,Free,Other,Free
3696,WarnWetter,0.0,0,0.0,Weather,51.4,Free,Utilities,Free
3697,Ab & Core Sworkit - Free Workout Trainer,0.0,2901,5.0,Health & Fitness,59.8,Free,Health & Fitness,Free
3698,弹弹堂S- 巴萨传奇助阵 弹弹堂手游官方版,0.0,6,4.5,Games,146.2,Free,Games,Free
3699,网娱大师-网吧娱乐大师,0.0,0,0.0,Lifestyle,72.5,Free,Other,Free
3700,AmpMe - A Portable Social Party Music Speaker,0.0,1047,4.0,Music,69.9,Free,Other,Free
3701,VR SNIPER,0.0,30,2.5,Games,89.5,Free,Games,Free
3702,Yiannimize Racing,0.99,2,3.0,Games,46.2,Paid,Games,<$1
3703,COOKING MAMA Let's Cook！,0.0,3594,4.0,Games,178.2,Free,Games,Free
3704,DANDY DUNGEON Legend of Brave Yamada,0.0,1204,5.0,Games,247.3,Free,Games,Free
3705,Wolf Craft,0.99,206,4.5,Games,157.0,Paid,Games,<$1
3706,培训题库,1.99,0,0.0,Education,51.2,Paid,Education,$1-3
3707,Mondly: Learn 33 Languages: Spanish English French,0.0,1395,4.5,Education,77.7,Free,Education,Free
3708,Google Cardboard,0.0,546,4.0,Entertainment,127.6,Free,Entertainment,Free
3709,Polarr Photo Editor - Photo Editing Tools for All,0.0,2246,4.5,Photo & Video,57.9,Free,Photo & Video,Free
3710,Refreshing ! Brain training fit,0.0,0,0.0,Games,62.3,Free,Games,Free
3711,全民德州扑克-天天尽享拉斯维加斯之夜,0.0,0,0.0,Games,65.1,Free,Games,Free
3712,脳トレクロスワード -解けばIQがあがる!?無料パズルゲーム-,0.0,0,0.0,Games,30.0,Free,Games,Free
3713,Toca Life: City,2.99,3571,4.5,Education,332.1,Paid,Education,$1-3
3714,小牛在线-理财投资神器,0.0,0,0.0,Finance,33.0,Free,Utilities,Free
3715,Hugo Flower Flush,0.0,41,4.0,Games,242.5,Free,Games,Free
3716,Death Run : Mini Game With Worldwide Multiplayer,0.99,721,4.0,Games,121.9,Paid,Games,<$1
3717,花椒直播-高清美颜直播互动平台,0.0,19,3.0,Social Networking,174.6,Free,Entertainment,Free
3718,Smooth Operator!,0.99,8,4.0,Games,598.7,Paid,Games,<$1
3719,Arrow,0.0,14673,4.5,Games,128.4,Free,Games,Free
3720,Twin Shooter - Invaders,0.0,572,4.5,Games,147.5,Free,Games,Free
3721,モン娘は～れむ【モンはれ】,0.0,5,4.0,Games,140.8,Free,Games,Free
3722,屠龙杀,0.0,0,0.0,Games,241.3,Free,Games,Free
3723,TownWiFi - WiFi Everywhere,0.0,0,0.0,Utilities,112.9,Free,Utilities,Free
3724,Nono Islands,0.0,3180,4.5,Games,135.1,Free,Games,Free
3725,Six Flags,0.0,353,3.5,Travel,88.6,Free,Other,Free
3726,サッカーカーニバル,0.0,0,0.0,Games,102.0,Free,Games,Free
3727,Sling Kong,0.0,4638,4.5,Games,189.3,Free,Games,Free
3728,龙珠直播-高清游戏娱乐直播平台,0.0,0,0.0,Entertainment,70.8,Free,Entertainment,Free
3729,Forevolution,3.99,0,0.0,Games,77.3,Paid,Games,$3-4
3730,Sky Gamblers Air Supremacy,2.99,1010,4.0,Games,1654.8,Paid,Games,$1-3
3731,Timepage – Calendar by Moleskine,4.99,1085,4.0,Productivity,87.2,Paid,Productivity,$4-5
3732,Good Morning Alarm Clock - Sleep Cycle Tracker,3.99,1014,4.5,Health & Fitness,59.5,Paid,Health & Fitness,$3-4
3733,iMaschine 2,9.99,454,4.0,Music,508.7,Paid,Other,$5-10
3734,"System Status : memory, CPU, network, battery data",1.99,0,0.0,Productivity,2.5,Paid,Productivity,$1-3
3735,iPlum Business Phone Number for Calling & Texting,0.0,392,4.5,Business,39.7,Free,Productivity,Free
3736,AirTycoon 4,2.99,114,4.0,Games,247.3,Paid,Games,$1-3
3737,Firefox web browser,0.0,2619,3.5,Utilities,91.2,Free,Utilities,Free
3738,Insidious VR,0.0,121,3.5,Entertainment,260.6,Free,Entertainment,Free
3739,Duck Life: Retro Pack,1.99,77,4.5,Games,332.1,Paid,Games,$1-3
3740,Builder Buddies: 3D City Building Simulator,0.0,7197,4.0,Games,10.9,Free,Games,Free
3741,The Paranormal Society™: Hidden Adventure,0.0,3000,4.0,Games,659.1,Free,Games,Free
3742,Formulas - Photo Lab Effects and Custom Frames,1.99,99,4.5,Photo & Video,274.7,Paid,Photo & Video,$1-3
3743,ZAGA,0.0,444,4.5,Games,307.7,Free,Games,Free
3744,Relook,3.99,198,4.5,Photo & Video,56.4,Paid,Photo & Video,$3-4
3745,Horizon Chase - World Tour,0.0,3375,4.5,Games,587.3,Free,Games,Free
3746,Candid - Speak Your Mind Freely,0.0,398,3.5,Social Networking,47.1,Free,Entertainment,Free
3747,Fallout Shelter,0.0,199396,4.5,Games,1172.9,Free,Games,Free
3748,Election Center 2016,0.0,37,2.0,News,44.6,Free,Entertainment,Free
3749,Moments - private albums with friends and family,0.0,11955,4.5,Photo & Video,204.4,Free,Photo & Video,Free
3750,Lifeline 2,1.99,1364,4.5,Games,81.7,Paid,Games,$1-3
3751,Down To Lunch,0.0,2535,4.0,Social Networking,35.4,Free,Entertainment,Free
3752,INKHUNTER try tattoo designs in augmented reality,0.0,809,4.5,Entertainment,68.2,Free,Entertainment,Free
3753,Blyss,0.99,288,4.0,Games,163.1,Paid,Games,<$1
3754,Snapshot Cam - Draw on Pictures & Add Text to Photos,2.99,14,5.0,Photo & Video,109.1,Paid,Photo & Video,$1-3
3755,Snoopy Emoji,1.99,23,1.5,Utilities,29.4,Paid,Utilities,$1-3
3756,Boyfriend Plus - Brett Jeff and Kai,0.0,126,4.0,Games,34.2,Free,Games,Free
3757,PAUSE - Relaxation at your fingertip,1.99,180,3.5,Health & Fitness,77.2,Paid,Health & Fitness,$1-3
3758,Easy Music - Give kids an ear for music,3.99,43,4.5,Education,247.3,Paid,Education,$3-4
3759,SOMA Messenger,0.0,3232,4.5,Social Networking,92.8,Free,Entertainment,Free
3760,Analog Wedding,0.99,8,4.0,Photo & Video,18.8,Paid,Photo & Video,<$1
3761,Farming Simulator 16,4.99,2637,4.5,Games,185.6,Paid,Games,$4-5
3762,Total War Battles: KINGDOM,0.0,3092,4.0,Games,630.6,Free,Games,Free
3763,Football Chairman Pro,3.99,37,4.5,Games,29.4,Paid,Games,$3-4
3764,Fit The Fat 2,0.0,8557,4.5,Games,169.7,Free,Games,Free
3765,Face Paint Party - Kids Coloring Fun,0.0,38,4.0,Games,90.0,Free,Games,Free
3766,Patternator Pattern Maker Backgrounds & Wallpapers,0.0,2092,5.0,Photo & Video,47.9,Free,Photo & Video,Free
3767,Atlantic Fleet,9.99,271,4.5,Games,220.3,Paid,Games,$5-10
3768,Spinny Circle,0.0,20812,4.5,Games,16.7,Free,Games,Free
3769,Rick and Morty: Pocket Mortys,0.0,12124,4.5,Games,955.5,Free,Games,Free
3770,Down The Mountain,0.0,3491,4.5,Games,253.0,Free,Games,Free
3771,记账·圈子账本(专业版)—可共享的全能记帐本软件,0.99,12,4.5,Finance,77.9,Paid,Utilities,<$1
3772,百度钱包-金融信贷和理财投资优选,0.0,5,2.5,Lifestyle,43.7,Free,Other,Free
3773,Fast Motorcycle Driver,0.0,2224,4.5,Games,150.1,Free,Games,Free
3774,Abby Lee Dance Secrets,4.99,808,4.0,Entertainment,51.1,Paid,Entertainment,$4-5
3775,EWallpaper,3.99,42,1.0,Entertainment,10.7,Paid,Entertainment,$3-4
3776,Puppy Love - My Dream Pet,0.0,1689,4.5,Games,269.4,Free,Games,Free
3777,小咖秀-全民视频才艺直播社区,0.0,66,5.0,Entertainment,101.2,Free,Entertainment,Free
3778,懸賞パズルパクロス２,0.0,0,0.0,Games,187.1,Free,Games,Free
3779,Airmail - Your Mail With You,4.99,1575,3.5,Productivity,170.2,Paid,Productivity,$4-5
3780,Hop Rush,0.0,9,1.0,Games,11.7,Free,Games,Free
3781,League of War: Mercenaries,0.0,2523,4.5,Games,164.4,Free,Games,Free
3782,V for Wikipedia,4.99,134,4.5,Reference,31.6,Paid,Education,$4-5
3783,"2Face Fitpack - Dein Trainingsprogramm mit persönlichem Ernährungsplan, Kalorienrechner und Trainingsplan",0.0,0,0.0,Health & Fitness,34.4,Free,Health & Fitness,Free
3784,"Egg, Inc.",0.0,79074,5.0,Games,53.6,Free,Games,Free
3785,Swaggy Ninja,0.0,1210,4.5,Games,31.6,Free,Games,Free
3786,CatHotel - Care for cute cats,0.0,1425,4.5,Games,230.2,Free,Games,Free
3787,伙星 - 随手拍出明星一样的MV,0.0,0,0.0,Photo & Video,118.8,Free,Photo & Video,Free
3788,ディグラム恋愛診断,0.0,0,0.0,Lifestyle,12.3,Free,Other,Free
3789,Rawr Messenger - Dab your chat,0.0,180,4.0,Social Networking,130.3,Free,Entertainment,Free
3790,"Curious World: Games, Videos, Books for Children",0.0,604,3.5,Education,186.6,Free,Education,Free
3791,Champs Sports,0.0,330,3.5,Lifestyle,63.6,Free,Other,Free
3792,Sago Mini Babies,2.99,70,4.0,Education,105.7,Paid,Education,$1-3
3793,Sago Mini Superhero,2.99,30,3.5,Education,179.5,Paid,Education,$1-3
3794,Infinite Tanks,4.99,262,4.0,Games,1920.3,Paid,Games,$4-5
3795,Word Trek  - WordTrek Brain game & Word puzzles,0.0,3774,4.5,Games,47.9,Free,Games,Free
3796,Triller - Music Video & Film Maker,0.0,25683,5.0,Photo & Video,87.3,Free,Photo & Video,Free
