,App,Price,Rating Count,Rating,Genres,Size (M),Type,New Genres,Price Category
0,PAC-MAN Premium,3.99,21292,4.0,Games,100.8,Paid,Games,$3-4
1,Evernote - stay organized,0.0,161065,4.0,Productivity,158.6,Free,Productivity,Free
2,"WeatherBug - Local Weather, Radar, Maps, Alerts",0.0,188583,3.5,Weather,100.5,Free,Utilities,Free
3,"eBay: Best App to Buy, Sell, Save! Online Shopping",0.0,262241,4.0,Shopping,128.5,Free,Other,Free
4,Bible,0.0,985920,4.5,Reference,92.8,Free,Education,Free
5,Shanghai Mahjong,0.99,8253,4.0,Games,10.5,Paid,Games,<$1
6,PayPal - Send and request money safely,0.0,119487,4.0,Finance,227.8,Free,Utilities,Free
7,Pandora - Music & Radio,0.0,1126879,4.0,Music,130.2,Free,Other,Free
8,PCalc - The Best Calculator,9.99,1117,4.5,Utilities,49.3,Paid,Utilities,$5-10
9,Ms. PAC-MAN,3.99,7885,4.0,Games,70.0,Paid,Games,$3-4
10,Solitaire by MobilityWare,4.99,76720,4.5,Games,49.6,Paid,Games,$4-5
11,SCRABBLE Premium,7.99,105776,3.5,Games,227.5,Paid,Games,$5-10
12,Google – Search made just for mobile,0.0,479440,3.5,Utilities,180.0,Free,Utilities,Free
13,Bank of America - Mobile Banking,0.0,119773,3.5,Finance,160.9,Free,Utilities,Free
14,FreeCell,4.99,6340,4.5,Games,55.2,Paid,Games,$4-5
15,TripAdvisor Hotels Flights Restaurants,0.0,56194,4.0,Travel,207.9,Free,Other,Free
16,Facebook,0.0,2974676,3.5,Social Networking,389.9,Free,Entertainment,Free
17,"Yelp - Nearby Restaurants, Shopping & Services",0.0,223885,4.0,Travel,167.4,Free,Other,Free
18,"Shazam - Discover music, artists, videos & lyrics",0.0,402925,4.0,Music,147.1,Free,Other,Free
19,Crash Bandicoot Nitro Kart 3D,2.99,31456,4.0,Games,10.7,Paid,Games,$1-3
20,iQuran,1.99,2929,4.5,Reference,70.7,Paid,Education,$1-3
21,:) Sudoku +,2.99,11447,5.0,Games,6.2,Paid,Games,$1-3
22,"Yahoo Sports - Teams, Scores, News & Highlights",0.0,137951,4.0,Sports,130.6,Free,Entertainment,Free
23,Mileage Log | Fahrtenbuch,5.99,8,4.5,Business,71.2,Paid,Productivity,$5-10
24,Cleartune - Chromatic Tuner,3.99,3241,4.0,Music,11.4,Paid,Other,$3-4
25,Lifesum – Inspiring healthy lifestyle app,0.0,5795,3.5,Health & Fitness,188.0,Free,Health & Fitness,Free
26,Hangman.,0.0,42316,3.0,Games,4.8,Free,Games,Free
27,iTranslate - Language Translator & Dictionary,0.0,123215,3.5,Productivity,287.9,Free,Productivity,Free
28,TouchOSC,4.99,782,4.0,Music,4.3,Paid,Other,$4-5
29,RadarScope,9.99,3449,4.0,Weather,172.8,Paid,Utilities,$5-10
30,LinkedIn,0.0,71856,3.5,Social Networking,273.8,Free,Entertainment,Free
31,Period Tracker Deluxe,1.99,13350,4.5,Health & Fitness,40.2,Paid,Health & Fitness,$1-3
32,Election 2016 Map,0.99,137,3.0,Entertainment,2.4,Paid,Entertainment,<$1
33,Blackjack by MobilityWare,0.0,180087,3.5,Games,105.4,Free,Games,Free
34,White Noise,0.99,33426,4.0,Health & Fitness,44.1,Paid,Health & Fitness,<$1
35,iHeartRadio – Free Music & Radio Stations,0.0,293228,4.0,Music,116.4,Free,Other,Free
36,Line Rider iRide™,1.99,21609,3.5,Entertainment,1.6,Paid,Entertainment,$1-3
37,Deliveries: a package tracker,4.99,4684,4.0,Utilities,30.0,Paid,Utilities,$4-5
38,Hurricane Pro,2.99,2104,4.5,Weather,29.5,Paid,Utilities,$1-3
39,Fieldrunners,2.99,41633,4.0,Games,66.9,Paid,Games,$1-3
40,Juxtaposer,2.99,3610,4.5,Photo & Video,45.2,Paid,Photo & Video,$1-3
41,Deezer - Listen to your Favorite Music & Playlists,0.0,4677,3.0,Music,127.5,Free,Other,Free
42,iStellar,3.99,30,3.5,Navigation,44.2,Paid,Utilities,$3-4
43,Sonos Controller,0.0,48905,4.5,Music,108.0,Free,Other,Free
44,Avertinoo,4.99,32,3.0,Navigation,8.0,Paid,Utilities,$4-5
45,Google Earth,0.0,446185,3.5,Travel,37.2,Free,Other,Free
46,iFart - The Original Fart Sounds App,1.99,21825,3.0,Entertainment,60.3,Paid,Entertainment,$1-3
47,PAC-MAN,0.0,508808,3.0,Games,100.8,Free,Games,Free
48,FOX Sports Mobile,0.0,57500,3.0,Sports,72.7,Free,Entertainment,Free
49,First Words Animals,1.99,2576,4.0,Games,32.2,Paid,Games,$1-3
50,WeatherPro,1.99,1572,4.0,Weather,69.1,Paid,Utilities,$1-3
51,HotSchedules,2.99,3292,3.0,Business,82.0,Paid,Productivity,$1-3
52,Star Walk - Find Stars And Planets in Sky Above,4.99,8932,4.5,Education,150.2,Paid,Education,$4-5
53,"The Weather Channel: Forecast, Radar & Alerts",0.0,495626,3.5,Weather,199.7,Free,Utilities,Free
54,Big Day - Event Countdown,0.99,812,3.0,Lifestyle,13.2,Paid,Other,<$1
55,12 Steps AA Companion - Alcoholics Anonymous,2.99,1583,3.5,Lifestyle,30.4,Paid,Other,$1-3
56,OpenTable - Restaurant Reservations,0.0,113936,4.5,Food & Drink,93.4,Free,Other,Free
57,VLC Remote,4.99,2027,4.0,Entertainment,31.5,Paid,Entertainment,$4-5
58,gFlashPro - Flashcards & Tests,3.99,768,4.0,Education,26.0,Paid,Education,$3-4
59,Lose It! – Weight Loss Program and Calorie Counter,0.0,373835,4.0,Health & Fitness,182.1,Free,Health & Fitness,Free
60,Target,0.0,108131,3.0,Shopping,138.8,Free,Other,Free
61,Fish Tycoon,0.99,18943,3.5,Games,13.6,Paid,Games,<$1
62,"Amazon App: shop, scan, compare, and read reviews",0.0,126312,3.5,Shopping,133.7,Free,Other,Free
63,Touchgrind,4.99,35735,4.0,Games,55.2,Paid,Games,$4-5
64,ProPresenter Remote,4.99,410,3.0,Utilities,46.9,Paid,Utilities,$4-5
65,iReal Pro - Music Book & Play Along,12.99,1390,4.5,Music,63.3,Paid,Other,$10-20
66,NRJ Radio,0.0,38,3.5,Music,53.4,Free,Other,Free
67,Chase Mobile℠,0.0,233270,4.5,Finance,39.5,Free,Utilities,Free
68,大辞林,21.99,64,4.5,Reference,210.1,Paid,Education,$20-50
69,Allrecipes Dinner Spinner,0.0,109349,3.5,Food & Drink,36.4,Free,Other,Free
70,新浪新闻-阅读最新时事热门头条资讯视频,0.0,2229,3.5,News,115.1,Free,Entertainment,Free
71,MotionX GPS,1.99,14970,3.5,Navigation,56.5,Paid,Utilities,$1-3
72,AccuWeather - Weather for Life,0.0,144214,3.5,Weather,181.9,Free,Utilities,Free
73,"Mint: Personal Finance, Budget, Bills & Money",0.0,232940,4.0,Finance,162.9,Free,Utilities,Free
74,ABC News - US & World News + Live Video,0.0,48407,3.0,News,98.1,Free,Entertainment,Free
75,Rowmote: Remote Control for Mac,0.99,5531,3.5,Utilities,54.1,Paid,Utilities,<$1
76,Peekaboo Barn,1.99,3393,4.0,Education,50.2,Paid,Education,$1-3
77,Speedtest by Ookla,0.0,65016,3.5,Utilities,23.9,Free,Utilities,Free
78,Pocket God,0.99,187529,4.0,Entertainment,145.3,Paid,Entertainment,<$1
79,Nike+ Training Club - Workouts & Fitness Plans,0.0,33969,3.5,Health & Fitness,140.4,Free,Health & Fitness,Free
80,Citi Mobile®,0.0,48822,3.5,Finance,281.2,Free,Utilities,Free
81,Phase 10 Pro - Play Your Friends!,1.99,59155,4.5,Games,66.7,Paid,Games,$1-3
82,"Kindle – Read eBooks, Magazines & Textbooks",0.0,252076,3.5,Book,169.7,Free,Education,Free
83,MASH,1.99,4913,4.0,Games,41.7,Paid,Games,$1-3
84,同花顺-炒股、股票,0.0,1744,3.5,Finance,122.9,Free,Utilities,Free
85,Wedding Dash Deluxe,0.99,16567,4.5,Games,55.8,Paid,Games,<$1
86,Beer Pong Game,0.0,187315,2.0,Games,189.0,Free,Games,Free
87,Tempo - Metronome with Setlists,2.99,4781,4.5,Music,22.2,Paid,Other,$1-3
88,Skat,3.99,94,4.5,Games,66.2,Paid,Games,$3-4
89,Color Splash,0.99,29554,4.0,Photo & Video,28.1,Paid,Photo & Video,<$1
90,Zombieville USA,0.99,32988,4.0,Games,28.0,Paid,Games,<$1
91,Skype for iPhone,0.0,373519,3.5,Social Networking,133.2,Free,Entertainment,Free
92,Tumblr,0.0,334293,4.0,Social Networking,151.6,Free,Entertainment,Free
93,iSwap Faces,1.99,2302,3.5,Photo & Video,27.1,Paid,Photo & Video,$1-3
94,Match™ - #1 Dating App.,0.0,60659,3.0,Social Networking,101.3,Free,Entertainment,Free
95,Tozzle - Toddler's favorite puzzle,2.99,2562,4.0,Games,168.2,Paid,Games,$1-3
96,HomeBudget with Sync,4.99,3042,3.5,Finance,17.5,Paid,Utilities,$4-5
97,Wind Meter,0.99,338,2.5,Weather,5.2,Paid,Utilities,<$1
98,Map My Run+ - GPS Running & Workout Tracker,2.99,16434,4.5,Health & Fitness,237.9,Paid,Health & Fitness,$1-3
99,Map My Ride+ - GPS Cycling & Route Tracker,2.99,10046,4.5,Health & Fitness,233.5,Paid,Health & Fitness,$1-3
100,"HuffPost - News, Politics & Entertainment",0.0,29107,3.0,News,110.4,Free,Entertainment,Free
101,Phrase Party!,1.99,878,4.0,Games,47.8,Paid,Games,$1-3
102,Minesweeper Classic,0.99,1140,3.5,Games,22.3,Paid,Games,<$1
103,Sally's Spa,2.99,35074,4.5,Games,431.8,Paid,Games,$1-3
104,"CBS Sports App - Sports Scores, News, Stats, Watch",0.0,59639,3.0,Sports,120.4,Free,Entertainment,Free
105,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,4.0,Health & Fitness,90.8,Paid,Health & Fitness,$4-5
106,iSwap Faces LITE,0.0,39722,3.0,Photo & Video,30.8,Free,Photo & Video,Free
107,DIRECTV,0.0,81006,3.5,Entertainment,151.4,Free,Entertainment,Free
108,NYTimes Crossword - Daily Word Puzzle Game,0.0,53465,3.5,Games,46.9,Free,Games,Free
109,Doodle Jump,0.99,395261,4.5,Games,48.7,Paid,Games,<$1
110,LEDit – The LED Banner App,1.99,2021,4.5,Utilities,17.1,Paid,Utilities,$1-3
111,niconico,0.0,182,3.0,Entertainment,25.8,Free,Entertainment,Free
112,Fandango Movies - Times + Tickets,0.0,291787,4.0,Entertainment,81.9,Free,Entertainment,Free
113,iCab Mobile (Web Browser),1.99,2441,4.0,Utilities,19.5,Paid,Utilities,$1-3
114,iRagdoll - Ragdoll Physics,0.99,1372,4.0,Games,118.7,Paid,Games,<$1
116,Dictionary.com Dictionary & Thesaurus,0.0,200047,4.0,Reference,111.3,Free,Education,Free
117,20 Minutes.fr - l'actualité en continu,0.0,112,3.5,News,109.6,Free,Entertainment,Free
118,The Masters Tournament,0.0,148160,4.5,Sports,120.7,Free,Entertainment,Free
119,myAT&T,0.0,108507,3.0,Utilities,68.5,Free,Utilities,Free
120,SFR TV,0.0,46,3.0,Entertainment,122.2,Free,Entertainment,Free
121,"Shutterfly: Prints, Photo Books, Cards Made Easy",0.0,51427,4.0,Photo & Video,122.3,Free,Photo & Video,Free
122,StickWars,0.99,53821,3.5,Games,17.0,Paid,Games,<$1
123,Indeed Job Search,0.0,38681,4.0,Business,3.7,Free,Productivity,Free
124,World Cup Table Tennis™,0.99,17776,4.0,Games,31.4,Paid,Games,<$1
125,WhatsApp Messenger,0.0,287589,4.5,Social Networking,135.0,Free,Entertainment,Free
126,"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,4.0,Productivity,55.8,Paid,Productivity,$1-3
127,Zillow Real Estate - Homes for Sale & for Rent,0.0,342969,4.5,Lifestyle,132.6,Free,Other,Free
128,2XL Supercross,4.99,6093,4.0,Games,270.7,Paid,Games,$4-5
129,Pocket Tanks Deluxe,4.99,5452,4.5,Games,39.8,Paid,Games,$4-5
130,Wells Fargo Mobile,0.0,43064,3.0,Finance,57.3,Free,Utilities,Free
131,radio.de - Der Radioplayer,0.0,64,4.5,Music,40.7,Free,Other,Free
132,AutoScout24 - mobile used & new car market,0.0,220,4.5,Productivity,141.1,Free,Productivity,Free
133,Sky Burger - Build & Match Food Free,0.0,114096,4.5,Games,146.2,Free,Games,Free
134,MindNode – Delightful Mind Mapping,9.99,1296,4.0,Productivity,52.3,Paid,Productivity,$5-10
135,Packing Pro,2.99,1293,4.0,Travel,16.3,Paid,Other,$1-3
136,USAA Mobile,0.0,19946,4.0,Finance,164.4,Free,Utilities,Free
137,The Moron Test,0.0,88613,4.0,Entertainment,45.7,Free,Entertainment,Free
138,Sunday Lawn,0.99,107727,3.5,Games,16.1,Paid,Games,<$1
139,Peggle Classic,0.99,21416,4.5,Games,223.8,Paid,Games,<$1
140,SmartGo Player,2.99,533,4.0,Games,22.2,Paid,Games,$1-3
141,I Am T-Pain 2.0,2.99,32650,3.5,Music,20.5,Paid,Other,$1-3
142,TextNow - Unlimited Text + Calls,0.0,164963,3.5,Social Networking,130.6,Free,Entertainment,Free
143,Boating Weather,1.99,141,3.0,Weather,8.9,Paid,Utilities,$1-3
144,Best Buy,0.0,80424,4.0,Shopping,180.5,Free,Other,Free
145,I Dig It,0.99,17190,4.0,Games,19.9,Paid,Games,<$1
146,Unblock Me,0.99,7973,4.0,Games,42.9,Paid,Games,<$1
147,Sonic The Hedgehog,2.99,19621,4.0,Games,36.7,Paid,Games,$1-3
148,10 Pin Shuffle Pro Bowling,3.99,7315,4.0,Games,36.6,Paid,Games,$3-4
149,Sky News,0.0,118,3.0,News,91.7,Free,Entertainment,Free
150,"ESPN: Get scores, news, alerts & watch live sports",0.0,290996,3.5,Sports,51.5,Free,Entertainment,Free
151,LiveATC Air Radio,3.99,2785,4.0,Travel,8.3,Paid,Other,$3-4
152,The Sims 3,6.99,54408,3.5,Games,430.1,Paid,Games,$5-10
153,"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,4.0,Games,70.0,Paid,Games,$5-10
154,Guess My Age  Math Magic,0.0,123190,3.0,Education,0.8,Free,Education,Free
155,Crush the Castle,0.99,23810,3.5,Games,13.0,Paid,Games,<$1
156,2016 U.S. Open Golf Championship,0.0,54192,4.0,Sports,139.5,Free,Entertainment,Free
157,"The Championships, Wimbledon 2016 - Tennis Grand Slam",0.0,20953,4.0,Sports,130.4,Free,Entertainment,Free
158,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,4.5,Music,101.9,Paid,Other,$5-10
159,NBC News,0.0,32881,3.5,News,53.0,Free,Entertainment,Free
160,"Grindr - Gay and same sex guys chat, meet and date",0.0,23201,2.5,Social Networking,80.4,Free,Entertainment,Free
161,Whole Foods Market,0.0,17906,3.0,Shopping,137.3,Free,Other,Free
163,Virtual Families,1.99,18920,3.5,Games,27.7,Paid,Games,$1-3
164,Sparkasse+,0.99,30,3.0,Finance,119.6,Paid,Utilities,<$1
165,Sparkasse - Your mobile branch,0.0,77,3.0,Finance,119.6,Free,Utilities,Free
166,Sleep Cycle alarm clock,0.0,104539,4.5,Health & Fitness,79.3,Free,Health & Fitness,Free
167,FACEinHOLE®,0.99,4016,4.0,Photo & Video,12.8,Paid,Photo & Video,<$1
168,Harvest - Select the Best Produce,1.99,299,4.0,Food & Drink,18.2,Paid,Other,$1-3
169,WORMS,1.99,5758,4.0,Games,253.8,Paid,Games,$1-3
170,Pixel Starships™ : 8Bit MMORPG,0.0,5565,4.5,Games,69.1,Free,Games,Free
171,Traffic Rush,0.99,213092,3.5,Games,8.6,Paid,Games,<$1
172,MyRadar NOAA Weather Radar Forecast,0.0,150158,4.5,Weather,127.3,Free,Utilities,Free
173,Resident Evil 4: PLATINUM,4.99,6046,4.0,Games,81.4,Paid,Games,$4-5
174,"Waze - GPS Navigation, Maps & Real-time Traffic",0.0,345046,4.5,Navigation,94.1,Free,Utilities,Free
175,Cartoon Wars,0.99,35930,3.5,Games,13.2,Paid,Games,<$1
176,Moto X Mayhem,0.99,22557,4.0,Games,21.0,Paid,Games,<$1
177,Fantasy Football Manager - FFM for FPL,0.99,292,3.0,Sports,36.0,Paid,Entertainment,<$1
178,Spotify Music,0.0,878563,4.5,Music,132.5,Free,Other,Free
179,McDo France,0.0,22,3.5,Food & Drink,37.0,Free,Other,Free
180,PGA Championship 2016 – Baltusrol Golf Club,0.0,10472,3.5,Sports,64.1,Free,Entertainment,Free
181,BFMTV : l'info en continu,0.0,115,4.0,News,100.8,Free,Entertainment,Free
182,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.99,13915,4.5,Weather,123.7,Paid,Utilities,$1-3
183,Spider:  The Secret of Bryce Manor,1.99,6780,4.0,Games,126.3,Paid,Games,$1-3
184,My Measures PRO,7.99,1701,4.0,Productivity,79.9,Paid,Productivity,$5-10
185,Food Additives Checker (E Numbers),1.99,6,3.5,Health & Fitness,6.4,Paid,Health & Fitness,$1-3
186,SFR Mon Compte,0.0,19,3.0,Utilities,74.1,Free,Utilities,Free
187,Baby Connect (Activity Log),4.99,3483,4.5,Medical,12.9,Paid,Health & Fitness,$4-5
188,Epson iPrint,0.0,2838,3.0,Photo & Video,53.4,Free,Photo & Video,Free
189,Mad Libs,0.0,117889,3.0,Entertainment,118.5,Free,Entertainment,Free
190,BATTLE BEARS: Zombies!,0.99,50710,3.5,Games,103.2,Paid,Games,<$1
191,Hurricane Tracker,2.99,3960,4.5,Weather,24.6,Paid,Utilities,$1-3
192,NFL Sunday Ticket,0.0,24258,3.0,Entertainment,96.1,Free,Entertainment,Free
193,2016 US Open Tennis Championships,0.0,37522,4.0,Sports,77.7,Free,Entertainment,Free
194,Dropbox,0.0,49578,3.5,Productivity,180.8,Free,Productivity,Free
195,Wa Kingyo - Goldfish Pond,0.99,626,4.0,Entertainment,56.4,Paid,Entertainment,<$1
196,Monkey Preschool Lunchbox,1.99,9286,4.0,Games,229.3,Paid,Games,$1-3
197,Yahoo Fantasy Sports,0.0,190670,3.5,Sports,131.0,Free,Entertainment,Free
198,Gaia GPS Classic,19.99,2429,4.5,Navigation,53.1,Paid,Utilities,$10-20
199,iLoan Calc (Loan calculator),3.99,0,0.0,Finance,3.4,Paid,Utilities,$3-4
200,Geocaching®,0.0,12811,3.5,Navigation,108.2,Free,Utilities,Free
201,Camera+,1.99,32338,4.0,Photo & Video,89.2,Paid,Photo & Video,$1-3
202,Alter Ego,4.99,262,4.0,Games,13.6,Paid,Games,$4-5
203,Parking Mania,0.99,9657,4.5,Games,123.5,Paid,Games,<$1
204,Sudoku⁺,2.99,18332,4.5,Games,1.6,Paid,Games,$1-3
205,Period Tracker Lite,0.0,53620,4.0,Health & Fitness,50.2,Free,Health & Fitness,Free
206,Camera Plus: For Macro Photos & Remote Photography,0.99,38533,2.5,Photo & Video,101.2,Paid,Photo & Video,<$1
207,The perfect Egg timer,0.99,40,3.5,Food & Drink,15.3,Paid,Other,<$1
208,Letter Quiz - alphabet tracing for kids,1.99,472,4.0,Games,31.8,Paid,Games,$1-3
209,Starbucks,0.0,303856,4.5,Food & Drink,135.0,Free,Other,Free
210,央视影音-海量央视内容高清直播,0.0,2070,2.5,Sports,54.6,Free,Entertainment,Free
211,Bloons TD,2.99,7941,4.0,Games,8.4,Paid,Games,$1-3
212,Weight Watchers,0.0,136833,3.5,Health & Fitness,230.7,Free,Health & Fitness,Free
213,"CNN: Breaking US & World News, Live Video",0.0,112886,3.5,News,80.2,Free,Entertainment,Free
214,Gilt,0.0,26353,3.5,Shopping,148.2,Free,Other,Free
215,TRUTH or DARE!!! - FREE,0.0,171055,3.0,Entertainment,20.8,Free,Entertainment,Free
216,Canabalt,2.99,4540,4.0,Games,27.9,Paid,Games,$1-3
217,Alipay - Makes Life Easy,0.0,1926,3.0,Lifestyle,208.3,Free,Other,Free
218,Scanner911 Pro,3.99,14345,4.0,News,33.8,Paid,Entertainment,$3-4
219,Daily Teachings,4.99,1340,4.5,Lifestyle,20.3,Paid,Other,$4-5
220,Scanner Pro - PDF document scanner app with OCR,3.99,31912,4.5,Business,101.3,Paid,Productivity,$3-4
221,Twitter,0.0,354058,3.5,News,210.6,Free,Entertainment,Free
222,"Trainline UK: Live Train Times, Tickets & Planner",0.0,248,4.0,Travel,110.2,Free,Other,Free
223,CBS News - Watch Free Live Breaking News,0.0,11691,3.5,News,78.0,Free,Entertainment,Free
224,iOvilus,1.99,381,3.0,Entertainment,9.9,Paid,Entertainment,$1-3
225,The Impossible Quiz!,0.0,18884,4.0,Entertainment,44.7,Free,Entertainment,Free
226,WolframAlpha,2.99,7410,4.0,Reference,30.4,Paid,Education,$1-3
227,Catan,1.99,15175,4.0,Games,376.2,Paid,Games,$1-3
228,ScanBizCards Business Card Reader,0.99,3166,4.0,Business,96.8,Paid,Productivity,<$1
229,"Walgreens – Pharmacy, Photo, Coupons and Shopping",0.0,88885,4.5,Shopping,169.1,Free,Other,Free
230,King of Dragon Pass,9.99,882,5.0,Games,364.5,Paid,Games,$5-10
231,Stylebook,3.99,1729,4.0,Lifestyle,44.1,Paid,Other,$3-4
232,NBA,0.0,43682,3.5,Sports,112.1,Free,Entertainment,Free
233,Blower,0.99,861,2.0,Entertainment,98.9,Paid,Entertainment,<$1
234,My Cycles Period and Ovulation Tracker,0.0,7469,3.5,Health & Fitness,77.7,Free,Health & Fitness,Free
235,"Kmart – Download Now, Shop Online & Pick Up Today!",0.0,4186,3.5,Shopping,94.5,Free,Other,Free
236,优酷视频,0.0,4885,3.5,Entertainment,205.0,Free,Entertainment,Free
237,DOOM Classic,4.99,3970,4.0,Games,32.8,Paid,Games,$4-5
238,SoundCloud - Music & Audio,0.0,135744,4.0,Music,105.0,Free,Other,Free
239,imo video calls and chat,0.0,18841,4.0,Social Networking,22.6,Free,Entertainment,Free
240,Plane Finder - Flight Tracker,3.99,1438,4.0,Navigation,52.6,Paid,Utilities,$3-4
241,"Runtastic Running, Jogging and Walking Tracker",0.0,10298,4.5,Health & Fitness,151.4,Free,Health & Fitness,Free
242,iFiles,0.99,1842,3.5,Productivity,47.3,Paid,Productivity,<$1
243,TeachMe: Kindergarten,1.99,2548,4.0,Education,59.8,Paid,Education,$1-3
244,Moorhuhn Deluxe - Crazy Chicken,0.99,319,3.0,Games,27.8,Paid,Games,<$1
245,Victoria’s Secret – The Sexiest Bras & Lingerie,0.0,34507,3.5,Shopping,61.0,Free,Other,Free
246,MONOPOLY Game,0.99,26482,3.5,Games,194.4,Paid,Games,<$1
247,n-tv Nachrichten,0.0,273,3.0,News,49.5,Free,Entertainment,Free
248,Shazam Encore,2.99,8331,4.0,Music,147.1,Paid,Other,$1-3
249,Harry Potter: Spells,0.99,17023,4.0,Games,125.4,Paid,Games,<$1
250,First Words Deluxe,4.99,1101,4.0,Games,63.3,Paid,Games,$4-5
251,Clay Hunt,0.99,1193,4.0,Games,15.3,Paid,Games,<$1
252,Dream Team - be your own fantasy football manager,0.0,35,2.5,Sports,69.8,Free,Entertainment,Free
253,Jet Car Stunts,1.99,4088,4.0,Games,32.8,Paid,Games,$1-3
254,Call of Duty: Zombies,4.99,63943,4.0,Games,52.8,Paid,Games,$4-5
255,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0.0,70286,3.0,Shopping,146.5,Free,Other,Free
256,AirWatch Agent,0.0,1150,2.5,Business,24.7,Free,Productivity,Free
257,Shop Savvy Barcode Scanner - Price Compare & Deals,0.0,54630,2.5,Shopping,89.5,Free,Other,Free
258,Voice Changer Plus,0.0,98777,3.0,Entertainment,40.7,Free,Entertainment,Free
259,CatPaint,0.99,649,4.0,Photo & Video,73.3,Paid,Photo & Video,<$1
260,Redbox,0.0,60236,3.0,Entertainment,83.9,Free,Entertainment,Free
261,クックパッド - No.1料理レシピ検索アプリ,0.0,115,3.5,Food & Drink,76.6,Free,Other,Free
262,Trenches,0.99,26732,4.0,Games,37.3,Paid,Games,<$1
263,The Christmas List,1.99,2722,4.5,Shopping,26.1,Paid,Other,$1-3
264,Macy's,0.0,11013,3.5,Shopping,107.8,Free,Other,Free
265,Calorie Counter & Diet Tracker by MyFitnessPal,0.0,507706,4.5,Health & Fitness,152.7,Free,Health & Fitness,Free
266,BlaBlaCar - Trusted Carpooling,0.0,397,4.5,Travel,112.0,Free,Other,Free
267,Refills Calendar - Scheduler - Note,9.99,196,4.0,Productivity,35.9,Paid,Productivity,$5-10
268,5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,4.0,News,49.6,Paid,Entertainment,$3-4
269,Hipstamatic,2.99,12557,3.5,Photo & Video,114.1,Paid,Photo & Video,$1-3
270,Sing Karaoke Songs Unlimited with StarMaker,0.0,26227,4.0,Music,91.3,Free,Other,Free
271,TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,5.0,Business,8.8,Paid,Productivity,$4-5
272,Positivity with Andrew Johnson,2.99,282,4.0,Health & Fitness,69.5,Paid,Health & Fitness,$1-3
273,Rat On A Scooter XL,0.99,19296,4.0,Games,7.8,Paid,Games,<$1
274,IMDb Movies & TV - Trailers and Showtimes,0.0,183425,4.5,Entertainment,88.7,Free,Entertainment,Free
275,Angry Birds,0.0,824451,4.5,Games,176.0,Free,Games,Free
276,DB Navigator,0.0,512,3.5,Travel,84.8,Free,Other,Free
277,Video Calls with Santa,2.99,315,3.5,Lifestyle,28.0,Paid,Other,$1-3
278,Voyages-sncf.com : book train and bus tickets,0.0,268,3.5,Travel,131.5,Free,Other,Free
279,The Font Game,1.99,438,4.5,Games,5.4,Paid,Games,$1-3
280,ImmobilienScout24: Real Estate Search in Germany,0.0,187,3.5,Navigation,126.9,Free,Utilities,Free
281,Grand Theft Auto: Chinatown Wars,4.99,15142,4.0,Games,878.9,Paid,Games,$4-5
282,Southwest Airlines,0.0,30552,3.0,Travel,88.8,Free,Other,Free
283,The Sims 3 World Adventures,2.99,9744,3.5,Games,812.8,Paid,Games,$1-3
284,Star Chart,0.0,13482,4.5,Education,28.6,Free,Education,Free
285,TaxCaster – Free tax refund calculator,0.0,17516,3.5,Finance,7.1,Free,Utilities,Free
286,Glow Hockey 2 FREE,0.0,186653,3.5,Games,34.1,Free,Games,Free
287,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,4.0,Entertainment,21.5,Paid,Entertainment,<$1
288,TV SPIELFILM - TV Programm mit Live TV,0.0,81,3.0,Entertainment,97.9,Free,Entertainment,Free
289,All-in-1 Logic GameBox,0.99,9854,4.0,Games,22.3,Paid,Games,<$1
290,Roadside America,2.99,1093,4.0,Travel,10.2,Paid,Other,$1-3
291,Pocket Yoga,2.99,4475,4.5,Health & Fitness,132.5,Paid,Health & Fitness,$1-3
292,Sonic the Hedgehog 2,2.99,9405,4.0,Games,47.2,Paid,Games,$1-3
293,Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,4.5,Health & Fitness,100.0,Paid,Health & Fitness,$1-3
294,CamCard - Business card scanner & reader,0.99,2923,4.5,Business,174.8,Paid,Productivity,<$1
295,This American Life,2.99,8657,3.5,Entertainment,13.7,Paid,Entertainment,$1-3
296,Timetracks - Slit-Scan Camera,0.99,70,2.0,Photo & Video,11.4,Paid,Photo & Video,<$1
297,franceinfo - l'actualité & les élections en direct,0.0,162,4.0,News,155.9,Free,Entertainment,Free
298,DOUBUTSU URANAI®-Animal Fortune-,0.99,5,4.0,Lifestyle,38.7,Paid,Other,<$1
299,Doodle Army,0.99,12354,4.0,Games,17.9,Paid,Games,<$1
300,Ameba,0.0,269,3.0,Social Networking,96.6,Free,Entertainment,Free
301,eBook: War and Peace,3.99,0,0.0,Book,8.0,Paid,Education,$3-4
